title,start_date,end_date,place,cast,runtime,age,tickets,story,genre,prstate,time
긴긴밤,2024.10.15,2025.01.05,2025.01.05,"홍우진, 강정우, 이형훈, 연지현, 이정화, 설가은, 박근식 등",1시간 40분,만 7세 이상,"R석 66,000원, S석 55,000원",,뮤지컬,공연중,"화요일 ~ 목요일(20:00), 금요일(16:00,20:00), 토요일(15:00,19:00), 일요일(15:00), HOL(15:00,19:00)"
섹시동안클럽 뮤지컬 페스티벌,2024.10.24,2024.10.27,2024.10.27,"최민철, 하도권, 문종원, 최수형, 김대종, 양준모 등",3시간,만 7세 이상,"VIP석 170,000원, R석 150,000원, S석 110,000원, A석 80,000원",,뮤지컬,공연완료,"목요일 ~ 금요일(19:30), 토요일(19:00), 일요일(16:00)"
쿠로이 저택엔 누가 살고 있을까? [대학로],2024.10.29,2025.01.19,2025.01.19,"송나영, 홍나현, 김단이, 정욱진, 정휘, 박은미, 김대종 등",1시간 50분,만 7세 이상,"R석 70,000원, S석 55,000원",,뮤지컬,공연중,"화요일(20:00), 수요일(16:00,20:00), 목요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
꼼메디아 디 피노키오,2024.10.08,2025.01.05,2025.01.05,"이세헌, 조성필, 박경호, 이승준, 이승현, 조성태, 이동연",1시간 40분,만 12세 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연중,"화요일 ~ 수요일(20:00), 목요일(16:00,20:00), 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
비밀의 화원 [음성],2024.10.18,2024.10.19,2024.10.19,"이금조, 김서환, 김종형, 김지혜",1시간 40분,만 7세 이상,"R석 40,000원, S석 30,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(15:00)"
미남당: 청동검의 비밀,2024.10.17,2024.11.09,2024.11.09,"이종석, 전하영, 유소리, 이승헌, 정백선, 송지온, 강다현 등",1시간 40분,만 7세 이상,"R석 50,000원, S석 40,000원",,뮤지컬,공연완료,"화요일 ~ 금요일(20:00), 토요일(15:00,18:30), 일요일(15:00)"
"스즈메의 문단속, 날씨의 아이, 너의 이름은. 갈라 콘서트 (9월)",2024.09.21,2024.09.22,2024.09.22,"이재환, 최수진, 임규형, 류지호, 김상훈 등",1시간 50분,만 7세 이상,"R석 130,000원, S석 110,000원, A석 80,000원, B석 60,000원, 시야방해R 65,000원, 시야방해S 55,000원, 시야방해A 40,000원, 시야방해B 30,000원",,뮤지컬,공연완료,"토요일(19:00), 일요일(17:00)"
시카고의 아이들,2024.10.09,2024.10.13,2024.10.13,"이지웅, 최기현, 권영은, 유하진, 조수인, 최예니, 김혜원 등",1시간 30분,36개월 이상,"R석 50,000원, S석 40,000원",,뮤지컬,공연완료,"토요일(15:00,19:00), 일요일(14:00,17:00), HOL(15:00,19:00)"
화류춘몽 [부평],2024.10.03,2024.10.05,2024.10.05,"이미정, 류완선, 강상규, 윤기원, 진태연, 권혜영, 전우준 등",1시간 40분,만 15세 이상,"R석 40,000원, S석 30,000원",,뮤지컬,공연완료,"목요일 ~ 금요일(19:30), 토요일(15:00)"
사의찬미 2ND STAGE,2024.09.24,2024.10.27,2024.10.27,"김종구, 정동화, 주민진, 안유진, 최수진, 최연우, 최재웅 등",1시간 50분,만 12세 이상,"R석 77,000원, S석 66,000원, A석 55,000원",,뮤지컬,공연완료,"화요일(20:00), 수요일(16:00,20:00), 목요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
하데스타운 [부산],2024.10.18,2024.11.03,2024.11.03,"조형균, 박강현, 김민석, 최정원, 최재림, 강홍석, 김선영 등",2시간 35분,만 7세 이상,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 90,000원, B석 70,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일 ~ 일요일(14:00,19:00)"
비밀의 화원 [대구],2024.10.04,2024.10.05,2024.10.05,"김청아, 김서환, 정백선, 박선영, 김지혜 등",1시간 40분,만 7세 이상,"R석 60,000원, S석 40,000원, A석 30,000원, H석 20,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00,18:00)"
쿠로이 저택엔 누가 살고 있을까? [공주],2024.10.11,2024.10.12,2024.10.12,"홍나현, 정욱진, 한보라, 원종환, 김지훈, 이경욱",1시간 50분,만 7세 이상,"R석 30,000원, S석 20,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(15:00)"
메밀꽃 필 무렵 [서울],2024.10.11,2024.10.20,2024.10.20,"강신일, 안덕용, 서도민, 이지연, 강연호, 류비, 신민호 등",1시간 40분,만 7세 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"수요일 ~ 금요일(19:30), 토요일(15:00,19:30), 일요일(15:00)"
시카고 [광주],2024.10.11,2024.10.12,2024.10.12,"최정원, 윤공주, 정선아, 민경아, 박건형, 최재림, 김영주 등",2시간 25분,만 13세 이상,"VIP석 160,000원, R석 140,000원, S석 110,000원, A석 80,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00,18:30)"
시카고 [창원],2024.10.25,2024.10.27,2024.10.27,"최정원, 윤공주, 정선아, 민경아, 박건형, 최재림, 김영주 등",2시간 25분,만 13세 이상,"VIP석 160,000원, R석 140,000원, S석 110,000원, A석 80,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00,18:30), 일요일(14:00)"
시카고 [고양],2024.10.18,2024.10.20,2024.10.20,"최정원, 윤공주, 정선아, 민경아, 박건형, 최재림, 김영주 등",2시간 25분,만 13세 이상,"VIP석 160,000원, R석 140,000원, S석 110,000원, A석 80,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00,18:30), 일요일(14:00)"
쿠로이 저택엔 누가 살고 있을까? [제주],2024.09.21,2024.09.22,2024.09.22,"송나영, 홍나현, 정욱진, 한보라, 원종환, 유성재, 김지훈 등",1시간 50분,만 7세 이상,"VIP석 40,000원, R석 25,000원, A석 20,000원, B석 15,000원",,뮤지컬,공연완료,"토요일(19:00), 일요일(14:00)"
조로: 액터뮤지션,2024.09.11,2024.11.17,2024.11.17,"최민우, 김승대, 최세용, 홍륜희, 배수정, 전나영, 서채이 등",2시간 30분,만 7세 이상,"VIP석 99,000원, R석 88,000원, S석 55,000원",,뮤지컬,공연중,"화요일 ~ 금요일(19:30), 토요일 ~ 일요일(14:00,18:30), HOL(14:00,18:30)"
광화문 연가,2024.10.23,2025.01.05,2025.01.05,"윤도현, 엄기준, 손준호, 차지연, 김호영, 서은광, 류승주 등",2시간 40분,만 7세 이상,"VIP석 160,000원, R석 130,000원, S석 100,000원, A석 70,000원",,뮤지컬,공연중,"화요일 ~ 목요일(19:30), 금요일(15:00,19:30), 토요일 ~ 일요일(14:00,18:30), HOL(14:00,18:30)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [인천],2024.10.12,2024.10.13,2024.10.13,"박정윤, 이아영, 안정현, 유현주, 박희민, 최현진, 김혜경 등",1시간 05분,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [안산],2024.10.26,2024.10.27,2024.10.27,"박정윤, 이아영, 안정현, 유현주, 박희민, 최현진, 김혜경 등",1시간 05분,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
