관람일,시간,판매액,역할명1,역할명2,역할명3,역할명4,역할명5
12/04(Wed),19:00,37621532,Actor I,Actor N,Actor F,Actor O,Actor H
11/26(Tue),19:00,15580634,Actor E,Actor F,Actor M,Actor N,Actor J
12/10(Tue),14:00,14866003,Actor U,Actor W,Actor P,Actor L,Actor D
11/19(Tue),14:00,3038534,Actor P,Actor V,Actor Z,Actor L,Actor O
12/06(Fri),14:00,36892031,Actor Q,Actor O,Actor K,Actor N,Actor B
11/26(Tue),14:00,40756406,Actor B,Actor R,Actor E,Actor W,Actor A
12/10(Tue),14:00,20308791,Actor R,Actor F,Actor B,Actor W,Actor T
11/29(Fri),19:00,36372982,Actor X,Actor I,Actor E,Actor Y,Actor Z
12/11(Wed),14:00,13520980,Actor S,Actor V,Actor F,Actor D,Actor M
11/18(Mon),14:00,41752501,Actor T,Actor Z,Actor W,Actor A,Actor L
12/05(Thu),14:00,31370826,Actor X,Actor S,Actor F,Actor T,Actor U
11/24(Sun),14:00,38326446,Actor S,Actor K,Actor C,Actor Q,Actor B
11/26(Tue),19:00,17721916,Actor G,Actor X,Actor H,Actor N,Actor K
12/09(Mon),19:00,34792844,Actor B,Actor X,Actor J,Actor N,Actor Y
12/07(Sat),19:00,11955895,Actor K,Actor X,Actor O,Actor I,Actor C
11/24(Sun),19:00,6175499,Actor N,Actor Y,Actor U,Actor V,Actor Z
11/24(Sun),14:00,34788894,Actor O,Actor C,Actor G,Actor A,Actor L
12/09(Mon),19:00,27868947,Actor Q,Actor A,Actor E,Actor R,Actor S
12/04(Wed),14:00,36732655,Actor C,Actor J,Actor A,Actor Y,Actor S
12/06(Fri),19:00,378371,Actor Q,Actor A,Actor X,Actor G,Actor O
