,cast,title,genre
0,홍우진,긴긴밤,드라마/감동
1,강정우,긴긴밤,드라마/감동
2,이형훈,긴긴밤,드라마/감동
3,연지현,긴긴밤,드라마/감동
4,이정화,긴긴밤,드라마/감동
5,설가은,긴긴밤,드라마/감동
6,박근식,긴긴밤,드라마/감동
7,김주호,루드윅: 베토벤 더 피아노,음악중심/주크박스
8,정재환,루드윅: 베토벤 더 피아노,음악중심/주크박스
9,김지유,루드윅: 베토벤 더 피아노,음악중심/주크박스
10,윤도영,루드윅: 베토벤 더 피아노,음악중심/주크박스
11,크리스 영,루드윅: 베토벤 더 피아노,음악중심/주크박스
12,박다영,"청공축제, 온새미로",드라마/감동
13,구문회,"청공축제, 온새미로",드라마/감동
14,김영현,"청공축제, 온새미로",드라마/감동
15,김소진,"청공축제, 온새미로",드라마/감동
16,이예린,"청공축제, 온새미로",드라마/감동
17,박상홍,"청공축제, 온새미로",드라마/감동
18,설준형,"청공축제, 온새미로",드라마/감동
19,서형훈,유앤잇,음악중심/주크박스
20,서찬양,유앤잇,음악중심/주크박스
21,김소정,유앤잇,음악중심/주크박스
22,박성하,유앤잇,음악중심/주크박스
23,박소연,유앤잇,음악중심/주크박스
24,김유진,유앤잇,음악중심/주크박스
25,김현아,"보광동아트페스티벌, 해저2만리: 쓰레기섬의 아로낙스",판타지/어드벤처
26,이달희,"보광동아트페스티벌, 해저2만리: 쓰레기섬의 아로낙스",판타지/어드벤처
27,강대진,"보광동아트페스티벌, 해저2만리: 쓰레기섬의 아로낙스",판타지/어드벤처
28,서명균,"보광동아트페스티벌, 해저2만리: 쓰레기섬의 아로낙스",판타지/어드벤처
29,박시연,"보광동아트페스티벌, 해저2만리: 쓰레기섬의 아로낙스",판타지/어드벤처
30,박평광,호호 감자 전: 어흥편,코미디/유머
31,전진,호호 감자 전: 어흥편,코미디/유머
32,이동건,호호 감자 전: 어흥편,코미디/유머
33,임하랑,호호 감자 전: 어흥편,코미디/유머
34,강진실,호호 감자 전: 어흥편,코미디/유머
35,최하영,호호 감자 전: 어흥편,코미디/유머
36,박천영,호호 감자 전: 어흥편,코미디/유머
37,하은서,금란방,드라마/감동
38,최인형,금란방,드라마/감동
39,서연정,금란방,드라마/감동
40,이혜수,금란방,드라마/감동
41,이기완,금란방,드라마/감동
42,안재홍,금란방,드라마/감동
43,금승훈,금란방,드라마/감동
44,박하빈,나에게로 떠나는 여행,드라마/감동
45,송창경,나에게로 떠나는 여행,드라마/감동
46,김선,나에게로 떠나는 여행,드라마/감동
47,조다슬,나에게로 떠나는 여행,드라마/감동
48,김상원,나에게로 떠나는 여행,드라마/감동
49,양현석,실업자들,코미디/유머
50,박인화,실업자들,코미디/유머
51,정혜원,실업자들,코미디/유머
52,박현석,실업자들,코미디/유머
53,차주원,실업자들,코미디/유머
54,김도형,실업자들,코미디/유머
55,최대한,실업자들,코미디/유머
56,최은영,애니: 공개 드레스 리허설,음악중심/주크박스
57,곽보경,애니: 공개 드레스 리허설,음악중심/주크박스
58,남경주,애니: 공개 드레스 리허설,음악중심/주크박스
59,송일국,애니: 공개 드레스 리허설,음악중심/주크박스
60,신영숙,애니: 공개 드레스 리허설,음악중심/주크박스
61,김지선,애니: 공개 드레스 리허설,음악중심/주크박스
62,박소연,애니: 공개 드레스 리허설,음악중심/주크박스
63,최윤우,"제49회 파주시립예술단 정기 공연, 리이: 율곡 이이",음악중심/주크박스
64,윤영석,"제49회 파주시립예술단 정기 공연, 리이: 율곡 이이",음악중심/주크박스
65,정길홍,"제49회 파주시립예술단 정기 공연, 리이: 율곡 이이",음악중심/주크박스
66,김환희,"제49회 파주시립예술단 정기 공연, 리이: 율곡 이이",음악중심/주크박스
67,김가람,"제49회 파주시립예술단 정기 공연, 리이: 율곡 이이",음악중심/주크박스
68,장선희,"제49회 파주시립예술단 정기 공연, 리이: 율곡 이이",음악중심/주크박스
69,최서영,"제49회 파주시립예술단 정기 공연, 리이: 율곡 이이",음악중심/주크박스
70,이종석,미남당: 청동검의 비밀,판타지/어드벤처
71,전하영,미남당: 청동검의 비밀,판타지/어드벤처
72,유소리,미남당: 청동검의 비밀,판타지/어드벤처
73,이승헌,미남당: 청동검의 비밀,판타지/어드벤처
74,정백선,미남당: 청동검의 비밀,판타지/어드벤처
75,송지온,미남당: 청동검의 비밀,판타지/어드벤처
76,강다현,미남당: 청동검의 비밀,판타지/어드벤처
77,안지후,디지털 M 컷,음악중심/주크박스
78,조다슬,디지털 M 컷,음악중심/주크박스
79,조은별,디지털 M 컷,음악중심/주크박스
80,변재준,디지털 M 컷,음악중심/주크박스
81,이환이,디지털 M 컷,음악중심/주크박스
82,김민주,디지털 M 컷,음악중심/주크박스
83,김은비,마법여우 주비: 신비한 칠교 목걸이의 비밀,판타지/어드벤처
84,신경철,마법여우 주비: 신비한 칠교 목걸이의 비밀,판타지/어드벤처
85,이민식,마법여우 주비: 신비한 칠교 목걸이의 비밀,판타지/어드벤처
86,배지은,마법여우 주비: 신비한 칠교 목걸이의 비밀,판타지/어드벤처
87,이지혜,마법여우 주비: 신비한 칠교 목걸이의 비밀,판타지/어드벤처
88,황병걸,마법여우 주비: 신비한 칠교 목걸이의 비밀,판타지/어드벤처
89,임미영,마법여우 주비: 신비한 칠교 목걸이의 비밀,판타지/어드벤처
90,이현지,빼밀리,판타지/어드벤처
91,박정서,빼밀리,판타지/어드벤처
92,이온,빼밀리,판타지/어드벤처
93,이보윤,빼밀리,판타지/어드벤처
94,이예닮,빼밀리,판타지/어드벤처
95,조재은,빼밀리,판타지/어드벤처
96,손주아,빼밀리,판타지/어드벤처
97,조활,폭풍우 치는 밤에,드라마/감동
98,전여정,폭풍우 치는 밤에,드라마/감동
99,송다영,폭풍우 치는 밤에,드라마/감동
100,김유성,폭풍우 치는 밤에,드라마/감동
101,김동욱,폭풍우 치는 밤에,드라마/감동
102,임원,폭풍우 치는 밤에,드라마/감동
103,한현진,폭풍우 치는 밤에,드라마/감동
104,조성준,"제27회 광주소극장축제, 빨간기타",음악중심/주크박스
105,김백천,"제27회 광주소극장축제, 빨간기타",음악중심/주크박스
106,홍소예,"제27회 광주소극장축제, 빨간기타",음악중심/주크박스
107,박경민,"제27회 광주소극장축제, 빨간기타",음악중심/주크박스
108,유보영,"구리의 역사를 춤추다, HOME; 돌아올 곳",음악중심/주크박스
109,박성훈,"구리의 역사를 춤추다, HOME; 돌아올 곳",음악중심/주크박스
110,이건명,"구리의 역사를 춤추다, HOME; 돌아올 곳",음악중심/주크박스
111,이지훈,"구리의 역사를 춤추다, HOME; 돌아올 곳",음악중심/주크박스
112,장소연,"구리의 역사를 춤추다, HOME; 돌아올 곳",음악중심/주크박스
113,송은혜,"구리의 역사를 춤추다, HOME; 돌아올 곳",음악중심/주크박스
114,유명지,"구리의 역사를 춤추다, HOME; 돌아올 곳",음악중심/주크박스
115,김세용,더 쇼! 신라하다,음악중심/주크박스
116,김유권,더 쇼! 신라하다,음악중심/주크박스
117,남경주,더 쇼! 신라하다,음악중심/주크박스
118,오만석,더 쇼! 신라하다,음악중심/주크박스
119,강영종,더 쇼! 신라하다,음악중심/주크박스
120,임민지,더 쇼! 신라하다,음악중심/주크박스
121,이지현,더 쇼! 신라하다,음악중심/주크박스
122,이현주,"부산시립극단, 신데렐라: 너의 뜻대로 (단체)",판타지/어드벤처
123,황창기,"부산시립극단, 신데렐라: 너의 뜻대로 (단체)",판타지/어드벤처
124,김은희,"부산시립극단, 신데렐라: 너의 뜻대로 (단체)",판타지/어드벤처
125,오희경,"부산시립극단, 신데렐라: 너의 뜻대로 (단체)",판타지/어드벤처
126,채민수,"부산시립극단, 신데렐라: 너의 뜻대로 (단체)",판타지/어드벤처
127,이태성,"부산시립극단, 신데렐라: 너의 뜻대로 (단체)",판타지/어드벤처
128,박규한,"부산시립극단, 신데렐라: 너의 뜻대로 (단체)",판타지/어드벤처
129,이지웅,시카고의 아이들,"코미디/유머, 음악중심/주크박스"
130,최기현,시카고의 아이들,"코미디/유머, 음악중심/주크박스"
131,권영은,시카고의 아이들,"코미디/유머, 음악중심/주크박스"
132,유하진,시카고의 아이들,"코미디/유머, 음악중심/주크박스"
133,조수인,시카고의 아이들,"코미디/유머, 음악중심/주크박스"
134,최예니,시카고의 아이들,"코미디/유머, 음악중심/주크박스"
135,김혜원,시카고의 아이들,"코미디/유머, 음악중심/주크박스"
136,김서별,썸데이,드라마/감동
137,김여진,썸데이,드라마/감동
138,표혜미,썸데이,드라마/감동
139,이하은,썸데이,드라마/감동
140,윤환호,썸데이,드라마/감동
141,윤진웅,썸데이,드라마/감동
142,정지환,썸데이,드라마/감동
143,홍사무엘,더닝: 빛의 시간,판타지/어드벤처
144,신주언,더닝: 빛의 시간,판타지/어드벤처
145,김경택,더닝: 빛의 시간,판타지/어드벤처
146,지명,더닝: 빛의 시간,판타지/어드벤처
147,남효경,더닝: 빛의 시간,판타지/어드벤처
148,김종구,사의찬미 2ND STAGE,드라마/감동
149,정동화,사의찬미 2ND STAGE,드라마/감동
150,주민진,사의찬미 2ND STAGE,드라마/감동
151,안유진,사의찬미 2ND STAGE,드라마/감동
152,최수진,사의찬미 2ND STAGE,드라마/감동
153,최연우,사의찬미 2ND STAGE,드라마/감동
154,최재웅,사의찬미 2ND STAGE,드라마/감동
155,조형균,하데스타운,판타지/어드벤처
156,박강현,하데스타운,판타지/어드벤처
157,김민석,하데스타운,판타지/어드벤처
158,최정원,하데스타운,판타지/어드벤처
159,최재림,하데스타운,판타지/어드벤처
160,강홍석,하데스타운,판타지/어드벤처
161,김선영,하데스타운,판타지/어드벤처
162,김태경,오즈의 마법사,판타지/어드벤처
163,남윤성,오즈의 마법사,판타지/어드벤처
164,이창희,포르테피아니시모,음악중심/주크박스
165,이병현,포르테피아니시모,음악중심/주크박스
166,한서윤,포르테피아니시모,음악중심/주크박스
167,남가현,포르테피아니시모,음악중심/주크박스
168,김수민,포르테피아니시모,음악중심/주크박스
169,박소리,포르테피아니시모,음악중심/주크박스
170,김태현,포르테피아니시모,음악중심/주크박스
171,이준호,고불,드라마/감동
172,김보영,고불,드라마/감동
173,박정민,고불,드라마/감동
174,지윤진,고불,드라마/감동
175,정재종,고불,드라마/감동
176,송지민,고불,드라마/감동
177,천아란,고불,드라마/감동
178,조훈,브람스,음악중심/주크박스
179,김수용,브람스,음악중심/주크박스
180,박혜민,브람스,음악중심/주크박스
181,김담현,브람스,음악중심/주크박스
182,전혜주,방구석 뮤지컬,코미디/유머
183,이아진,방구석 뮤지컬,코미디/유머
184,박슬기,방구석 뮤지컬,코미디/유머
185,정가희,방구석 뮤지컬,코미디/유머
186,정다혜,방구석 뮤지컬,코미디/유머
187,한재아,방구석 뮤지컬,코미디/유머
188,이한별,방구석 뮤지컬,코미디/유머
189,박소영,앤 ANNE,드라마/감동
