,cast,title,genre,target
0,홍우진,긴긴밤,드라마/감동,1
1,강정우,긴긴밤,드라마/감동,1
2,이형훈,긴긴밤,드라마/감동,1
3,연지현,긴긴밤,드라마/감동,1
4,이정화,긴긴밤,드라마/감동,1
5,설가은,긴긴밤,드라마/감동,1
6,박근식,긴긴밤,드라마/감동,1
7,김주호,루드윅: 베토벤 더 피아노,음악중심/주크박스,1
8,정재환,루드윅: 베토벤 더 피아노,음악중심/주크박스,1
9,김지유,루드윅: 베토벤 더 피아노,음악중심/주크박스,1
10,윤도영,루드윅: 베토벤 더 피아노,음악중심/주크박스,1
11,크리스 영,루드윅: 베토벤 더 피아노,음악중심/주크박스,1
12,박다영,"청공축제, 온새미로",드라마/감동,1
13,구문회,"청공축제, 온새미로",드라마/감동,1
14,김영현,"청공축제, 온새미로",드라마/감동,1
15,김소진,"청공축제, 온새미로",드라마/감동,1
16,이예린,"청공축제, 온새미로",드라마/감동,1
17,박상홍,"청공축제, 온새미로",드라마/감동,1
18,설준형,"청공축제, 온새미로",드라마/감동,1
19,서형훈,유앤잇,음악중심/주크박스,1
20,서찬양,유앤잇,음악중심/주크박스,1
21,김소정,유앤잇,음악중심/주크박스,1
22,박성하,유앤잇,음악중심/주크박스,1
23,박소연,유앤잇,음악중심/주크박스,1
24,김유진,유앤잇,음악중심/주크박스,1
25,김현아,"보광동아트페스티벌, 해저2만리: 쓰레기섬의 아로낙스",판타지/어드벤처,1
26,이달희,"보광동아트페스티벌, 해저2만리: 쓰레기섬의 아로낙스",판타지/어드벤처,1
27,강대진,"보광동아트페스티벌, 해저2만리: 쓰레기섬의 아로낙스",판타지/어드벤처,1
28,서명균,"보광동아트페스티벌, 해저2만리: 쓰레기섬의 아로낙스",판타지/어드벤처,1
29,박시연,"보광동아트페스티벌, 해저2만리: 쓰레기섬의 아로낙스",판타지/어드벤처,1
30,박평광,호호 감자 전: 어흥편,코미디/유머,1
31,전진,호호 감자 전: 어흥편,코미디/유머,1
32,이동건,호호 감자 전: 어흥편,코미디/유머,1
33,임하랑,호호 감자 전: 어흥편,코미디/유머,1
34,강진실,호호 감자 전: 어흥편,코미디/유머,1
35,최하영,호호 감자 전: 어흥편,코미디/유머,1
36,박천영,호호 감자 전: 어흥편,코미디/유머,1
37,하은서,금란방,드라마/감동,1
38,최인형,금란방,드라마/감동,1
39,서연정,금란방,드라마/감동,1
40,이혜수,금란방,드라마/감동,1
41,이기완,금란방,드라마/감동,1
42,안재홍,금란방,드라마/감동,1
43,금승훈,금란방,드라마/감동,1
44,박하빈,나에게로 떠나는 여행,드라마/감동,1
45,송창경,나에게로 떠나는 여행,드라마/감동,1
46,김선,나에게로 떠나는 여행,드라마/감동,1
47,조다슬,나에게로 떠나는 여행,드라마/감동,1
48,김상원,나에게로 떠나는 여행,드라마/감동,1
49,양현석,실업자들,코미디/유머,1
50,박인화,실업자들,코미디/유머,1
51,정혜원,실업자들,코미디/유머,1
52,박현석,실업자들,코미디/유머,1
53,차주원,실업자들,코미디/유머,1
54,김도형,실업자들,코미디/유머,1
55,최대한,실업자들,코미디/유머,1
56,최은영,애니: 공개 드레스 리허설,음악중심/주크박스,1
57,곽보경,애니: 공개 드레스 리허설,음악중심/주크박스,1
58,남경주,애니: 공개 드레스 리허설,음악중심/주크박스,1
59,송일국,애니: 공개 드레스 리허설,음악중심/주크박스,1
60,신영숙,애니: 공개 드레스 리허설,음악중심/주크박스,1
61,김지선,애니: 공개 드레스 리허설,음악중심/주크박스,1
62,박소연,애니: 공개 드레스 리허설,음악중심/주크박스,1
63,최윤우,"제49회 파주시립예술단 정기 공연, 리이: 율곡 이이",음악중심/주크박스,1
64,윤영석,"제49회 파주시립예술단 정기 공연, 리이: 율곡 이이",음악중심/주크박스,1
65,정길홍,"제49회 파주시립예술단 정기 공연, 리이: 율곡 이이",음악중심/주크박스,1
66,김환희,"제49회 파주시립예술단 정기 공연, 리이: 율곡 이이",음악중심/주크박스,1
67,김가람,"제49회 파주시립예술단 정기 공연, 리이: 율곡 이이",음악중심/주크박스,1
68,장선희,"제49회 파주시립예술단 정기 공연, 리이: 율곡 이이",음악중심/주크박스,1
69,최서영,"제49회 파주시립예술단 정기 공연, 리이: 율곡 이이",음악중심/주크박스,1
70,이종석,미남당: 청동검의 비밀,판타지/어드벤처,1
71,전하영,미남당: 청동검의 비밀,판타지/어드벤처,1
72,유소리,미남당: 청동검의 비밀,판타지/어드벤처,1
73,이승헌,미남당: 청동검의 비밀,판타지/어드벤처,1
74,정백선,미남당: 청동검의 비밀,판타지/어드벤처,1
75,송지온,미남당: 청동검의 비밀,판타지/어드벤처,1
76,강다현,미남당: 청동검의 비밀,판타지/어드벤처,1
77,안지후,디지털 M 컷,음악중심/주크박스,1
78,조다슬,디지털 M 컷,음악중심/주크박스,1
79,조은별,디지털 M 컷,음악중심/주크박스,1
80,변재준,디지털 M 컷,음악중심/주크박스,1
81,이환이,디지털 M 컷,음악중심/주크박스,1
82,김민주,디지털 M 컷,음악중심/주크박스,1
83,김은비,마법여우 주비: 신비한 칠교 목걸이의 비밀,판타지/어드벤처,1
84,신경철,마법여우 주비: 신비한 칠교 목걸이의 비밀,판타지/어드벤처,1
85,이민식,마법여우 주비: 신비한 칠교 목걸이의 비밀,판타지/어드벤처,1
86,배지은,마법여우 주비: 신비한 칠교 목걸이의 비밀,판타지/어드벤처,1
87,이지혜,마법여우 주비: 신비한 칠교 목걸이의 비밀,판타지/어드벤처,1
88,황병걸,마법여우 주비: 신비한 칠교 목걸이의 비밀,판타지/어드벤처,1
