performance_id,facility_id,title,start_date,end_date,place,cast,editor,runtime,age,producer,ticket_price,performance_status,child,musical_license,time,poster
PF252409,FC000584,썸데이 [함안],2024.10.29,2024.10.29,함안문화예술회관 (대공연장),,,1시간 40분,만 7세 이상,,전석무료,공연완료,N,N,화요일(14:00),http://www.kopis.or.kr/upload/pfmPoster/PF_PF252409_241029_111356.jpg
PF252404,FC001678,팥죽할머니와 호랑이 [광주],2024.10.31,2024.11.23,레미어린이극장 [광주수완] (레미어린이극장 [광주수완]),"김슬기, 김호겸, 이영재, 김효경, 노을, 이가영",,55분,전체 관람가,,"전석 30,000원",공연중,Y,N,"토요일 ~ 일요일(12:00,14:00,16:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF252404_241029_110037.png
PF252243,FC001310,김민정을 읽어드립니다 [인천],2024.10.31,2024.11.02,인천아트플랫폼 (공연장 (C동) ),"전서연, 배정민, 오수진, 장남수","서다영, 김회민, 도유현 등",1시간 30분,만 6세 이상,"(재)인천문화재단, 아트시나브로","전석 30,000원",공연완료,N,N,"목요일 ~ 금요일(20:00), 토요일(14:00,18:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF252243_241028_122750.png
PF251870,FC000405,사운드 오브 뮤직 [충주],2024.10.29,2024.10.29,충주시문화회관 (충주시문화회관),"고은솔, 박경환, 조재연, 최정윤, 최수정, 지채은, 양서희 등","한동운, 이강희, 어혜준 등",2시간,전체 관람가,,전석무료,공연완료,N,N,화요일(19:30),http://www.kopis.or.kr/upload/pfmPoster/PF_PF251870_241022_113928.jpg
PF251670,FC001197,렛미플라이 [의성],2024.10.31,2024.11.01,의성문화회관 (의성문화회관),"김도빈, 윤공주, 안지환, 나하나","홍윤경, 이영찬, 이대웅 등",2시간,만 7세 이상,,"전석 50,000원",공연완료,N,N,목요일 ~ 금요일(19:00),http://www.kopis.or.kr/upload/pfmPoster/PF_PF251670_241018_133724.jpg
PF251661,FC003855,코콘 세번째 한번 더: 비 온 뒤 땅이 더 굳어지듯,2024.10.27,2024.10.27,송해아트홀 (공연장(B1)),"이예은, 박지연, 이지수",,1시간 50분,전체 관람가,,"전석 77,000원",공연완료,N,N,일요일(18:30),http://www.kopis.or.kr/upload/pfmPoster/PF_PF251661_241018_131453.png
PF251635,FC001528,긴긴밤,2024.10.15,2025.01.05,링크아트센터드림 (드림 2관),"홍우진, 강정우, 이형훈, 연지현, 이정화, 설가은, 박근식 등","양소영, 박보윤, 황희원 등",1시간 40분,만 7세 이상,라이브러리컴퍼니,"R석 66,000원, S석 55,000원",공연중,N,N,"화요일 ~ 목요일(20:00), 금요일(16:00,20:00), 토요일(15:00,19:00), 일요일(15:00), HOL(15:00,19:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF251635_241018_111837.gif
PF251574,FC000126,삼거리 슈퍼스타,2024.10.29,2024.11.10,동서울아트홀 (동서울아트홀),"민광준, 이상연, 김현승, 박재은, 김가람, 황민, 조동연 등","김민정, 문동진, 문홍식 등",1시간 20분,만 11세 이상,민드림컴퍼니,"전석 40,000원",공연완료,N,N,"금요일(19:30), 토요일 ~ 일요일(12:00,15:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF251574_241017_144423.gif
PF251524,FC000836,NEW 달을 품은 슈퍼맨 [대구],2024.10.19,2024.10.19,대구서구문화회관 (공연장),,"복영한, 추정화, 허수현 등",1시간 50분,만 13세 이상,,전석무료,공연완료,N,N,"토요일(15:00,19:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF251524_241017_112659.png
PF251449,FC000847,틱틱붐: LOUDER THAN WORDS! 쇼케이스,2024.10.29,2024.10.29,신한카드 SOL페이 스퀘어(구.신한pLay 스퀘어) (라이브홀),"배두훈, 장지후, 이해준, 방민아, 김수하, 김대웅, 양희준",,1시간 20분,만 13세 이상,(주)신시컴퍼니,"전석 20,000원",공연완료,N,N,화요일(19:30),http://www.kopis.or.kr/upload/pfmPoster/PF_PF251449_241016_145958.gif
PF251441,FC000471,루드윅: 베토벤 더 피아노 [정읍],2024.10.25,2024.10.25,정읍사예술회관 (정읍사예술회관),"김주호, 정재환, 김지유, 윤도영, 크리스 영","추정화, 허수현 등",1시간 50분,만 10세 이상,과수원뮤지컬컴퍼니,"전석 10,000원",공연완료,N,N,금요일(19:00),http://www.kopis.or.kr/upload/pfmPoster/PF_PF251441_241016_144322.jpg
PF251432,FC000355,내일은 슈퍼스타 [삼척],2024.10.26,2024.10.26,삼척문화예술회관 (대공연장),"안상태, 송영길, 정태호, 박휘순, 김태원, 이성동, 김회경 등",,1시간 40분,만 7세 이상,,전석무료,공연완료,N,N,토요일(16:00),http://www.kopis.or.kr/upload/pfmPoster/PF_PF251432_241016_142544.jpg
PF251347,FC001561,잠자는 숲속의 공주 [구미],2024.10.26,2024.12.01,롯데마트 어린이소극장 [구미] (어린이소극장),,,50분,전체 관람가,극단 돼지,"전석 20,000원",공연중,Y,N,"토요일 ~ 일요일(12:00,14:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF251347_241016_103417.jpg
PF251314,FC000418,뮤지컬 슈퍼스타 갈라 콘서트 [금산],2024.10.29,2024.10.29,금산다락원 생명의집 (대공연장),"최정원, 홍지민, 이건명 등",,2시간,전체 관람가,,"전석 10,000원",공연완료,N,N,화요일(19:30),http://www.kopis.or.kr/upload/pfmPoster/PF_PF251314_241015_141819.jpg
PF251069,FC001927,지구용사 푸름이 [인천],2024.10.19,2024.11.03,아띠홀 (아띠홀),,,50분,전체 관람가,공연기획 바람,"전석 22,900원",공연완료,Y,N,"금요일(16:30), 토요일 ~ 일요일(13:00,15:00)",http://www.kopis.or.kr/upload/pfmPoster/PF_PF251069_241011_143244.jpg
